순번,법령MST,소관부처코드,소관부처명,법령ID,법령명,공포일자,공포번호,시행일자,법령구분코드,법령구분명,법령분야코드,법령분야명
1,253527,1371000,문화체육관광부,010719,10ㆍ27법난 피해자의 명예회복 등에 관한 법률,20230808,제19592호,20230808,A0002,법률,13030000,第3章 賞勳·禮式·補償
2,262693,1741000 1834600,"10·29이태원참사진상규명과재발방지를위한특별조사위원회,행정안전부",014656,10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법,20240521,제20427호,20240521,A0002,법률,04020000,第2章 行政作用一般
3,257787,1320000,경찰청,014565,112신고의 운영 및 처리에 관한 법률,20240102,제19870호,20240703,A0002,법률,11010000,第1章 行政組織·通則
4,266637,1661000,소방청,011349,119구조ㆍ구급에 관한 법률,20241203,제20543호,20250604,A0002,법률,12020300,第3節 消 防
5,257743,1661000,소방청,014566,119긴급신고의 관리 및 운영에 관한 법률,20240102,제19872호,20240703,A0002,법률,12020100,第1節 行政組織·通則
6,270935,1613000,국토교통부,014877,12ㆍ29여객기참사 피해구제 및 지원 등을 위한 특별법,20250429,제20954호,20250630,A0002,법률,41080000,第8章 航 空
7,206017,1290000,국방부,009678,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법,20181224,제16029호,20190625,A0002,법률,13020105,第5款 年金·保險·共濟會
8,3274,1760000,인사혁신처,001348,1980년해직공무원의보상등에관한특별조치법,19890329,제4101호,19890329,A0002,법률,05010000,第1章 通 則
9,260813,1421000,중소벤처기업부,011370,1인 창조기업 육성에 관한 법률,20240227,제20361호,20240828,A0002,법률,28020000,第2章 中小企業
10,265869,1371000,문화체육관광부,011532,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,20241022,제20490호,20241022,A0002,법률,16070000,第7章 體育·靑少年育成
11,267381,1262000,외교부,014789,2025 경주 아시아태평양경제협력체 정상회의 지원 특별법,20241220,제20572호,20241220,A0002,법률,44010000,第1章 行政組織·通則
12,231363,1290000,국방부,014061,30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법,20210413,제17991호,20211014,A0002,법률,13020101,第1款 通 則
13,233957,1741000,행정안전부,014119,3ㆍ15의거 참여자의 명예회복 등에 관한 법률,20210720,제18301호,20220121,A0002,법률,08010000,第1章 民 法
14,162682,1192000,해양수산부,012159,4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법,20141119,제12843호,20150101,A0002,법률,42030000,第3章 船 舶
15,263101,1092000 1192000,"국무조정실,해양수산부",012245,4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법,20240604,제20428호,20240604,A0002,법률,42030000,第3章 船 舶
16,268565,1830000,국가보훈부,009289,5ㆍ18민주유공자예우 및 단체설립에 관한 법률,20250121,제20682호,20250422,A0002,법률,15020000,第2章 國家報勳
17,246621,1741000,행정안전부,001234,5ㆍ18민주화운동 관련자 보상 등에 관한 법률,20221227,제19106호,20221227,A0002,법률,08010000,第1章 民 法
18,235549,1270000 1290000,"국방부,법무부",001159,5ㆍ18민주화운동 등에 관한 특별법,20210924,제18465호,20220701,A0002,법률,09010000,第1章 刑 法
19,260411,1075000,5.18민주화운동진상규명조사위원회,013091,5ㆍ18민주화운동 진상규명을 위한 특별법,20240213,제20309호,20240517,A0002,법률,13030000,第3章 賞勳·禮式·補償
20,260413,1290000,국방부,010716,6ㆍ25 전사자유해의 발굴 등에 관한 법률,20240213,제20309호,20240517,A0002,법률,13030000,第3章 賞勳·禮式·補償
21,267383,1250000,통일부,011176,6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률,20241220,제20573호,20241220,A0002,법률,13030000,第3章 賞勳·禮式·補償
22,238801,1290000,국방부,013468,6ㆍ25전쟁 무공훈장 수여 등에 관한 법률,20220104,제18679호,20220104,A0002,법률,13030000,第3章 賞勳·禮式·補償
23,266675,1290000,국방부,014062,6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률,20241203,제20536호,20250401,A0002,법률,13030000,第3章 賞勳·禮式·補償
24,255405,1613000,국토교통부,014518,가덕도신공항건설공단법,20231024,제19762호,20240425,A0002,법률,41080000,第8章 航 空
25,258303,1613000,국토교통부,014035,가덕도신공항 건설을 위한 특별법,20240109,제19987호,20240109,A0002,법률,41080000,第8章 航 空
26,188538,1270000,법무부,001257,가등기담보 등에 관한 법률,20161227,제14474호,20170328,A0002,법률,08010000,第1章 民 法
27,268283,1130000,공정거래위원회,009367,가맹사업거래의 공정화에 관한 법률,20250121,제20712호,20250121,A0002,법률,19090100,第1節 物價·公正去來·消費者保護
